text,sentiment,sample,prompt,expected-label,generation_time
I'm fascinated by your idea and would love to hear more about it.,positive,your idea seems interesting,Generate 20 simple sentences similar to your idea seems interesting with positive sentiment.,0,2023-03-09 23:50
I think your idea is brilliant and I'm looking forward to seeing it come to fruition.,positive,your idea seems interesting,Generate 20 simple sentences similar to your idea seems interesting with positive sentiment.,0,2023-03-09 23:50
Your idea is really intriguing and I'm excited to see how it develops.,positive,your idea seems interesting,Generate 20 simple sentences similar to your idea seems interesting with positive sentiment.,0,2023-03-09 23:50
I'm keen to explore your idea as it seems like a promising one.,positive,your idea seems interesting,Generate 20 simple sentences similar to your idea seems interesting with positive sentiment.,0,2023-03-09 23:50
Your idea appeals to me a lot and I'm eager to see where it goes.,positive,your idea seems interesting,Generate 20 simple sentences similar to your idea seems interesting with positive sentiment.,0,2023-03-09 23:50
Your kindness always makes my day brighter.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:50
I appreciate your support and encouragement.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:50
Your advice really helped me make a tough decision.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:50
Thank you for always being a good listener.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:50
Your positive attitude is contagious and inspiring.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:50
Your contribution is truly valuable to the team.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:50
Your thoughtfulness never goes unnoticed.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:50
Your assistance has made my job so much easier.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:50
You are always there to lend a helping hand.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:50
Your thought-provoking input is greatly appreciated.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:50
Your generosity knows no bounds.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:50
Thank you for being a reliable person in my life.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:50
Your wisdom has provided me with valuable insights.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:50
Your feedback has been instrumental in my growth.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:50
Your creativity is always inspiring to me.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:50
You are a true asset to the community.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:50
Your passion is contagious and motivating.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:50
Your dedication is truly commendable.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:50
You have a heart of gold and it shows in everything you do.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:50
Your presence brightens up the room and lifts people's spirits.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:50
I cannot disagree more with that opinion.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:50
I couldn't possibly disagree with you more.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:50
I'm afraid I completely disagree with you.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:50
"Sorry, but I must disagree with your statement.",negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:50
I have to contradict that negative notion.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:50
"I'm sorry, but I have to differ with you on this.",negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:50
I simply cannot concur with your point of view.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:50
I must say that I disagree with your assessment.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:50
I cannot see eye to eye with you on that one.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:50
"I'm sorry, but I beg to differ with your disagreement.",negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:50
I'm afraid I cannot align with your negative opinion.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:50
That is a sentiment with which I cannot agree.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:50
I find myself in opposition to your perspective.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:50
"Sorry, but I cannot endorse that negative attitude.",negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:50
"I'm sorry, but I cannot join you in your disapproval.",negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:50
I respectfully have to disagree with your perspective.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:50
I must disagree with your unfavorable point of view.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:50
"Unfortunately, I cannot subscribe to your negative stance.",negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:50
I'm afraid I cannot support your negative outlook.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:50
I cannot concur with your negative sentiment.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:50
"I hate to be the bearer of bad news, but.",negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50
"I'm sorry, but I can't say I agree with you.",negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50
"Unfortunately, I have to say that's not true.",negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50
I'm afraid I have to contradict you on this.,negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50
"I disagree, and I'm not sorry about it.",negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50
"That's not entirely accurate, if I'm being honest.",negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50
I have to take issue with what you just said.,negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50
"I'm sorry, but I can't see it that way.",negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50
I'm afraid I can't support that statement.,negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50
That just doesn't sound right to me.,negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50
"I'm sorry, but that's simply not correct.",negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50
I have to disagree for a number of reasons.,negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50
"If I'm being honest, I don't think that's true.",negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50
"I'm sorry, but that's not how I see it.",negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50
"I hate to say it, but I don't think that's accurate.",negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50
"I'm sorry, but I think you've got it wrong.",negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50
"That's not a view I can endorse, I'm afraid.",negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50
"I'm sorry, but I can't go along with that.",negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50
I'm afraid I have to say I disagree.,negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50
"Sadly, I have to disagree with that sentiment.",negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50
"I'm sorry, but I can't support your decision.",negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 23:50
"Unfortunately, that is not possible.",negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 23:50
I cannot say I agree with you on this matter.,negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 23:50
I'm afraid I cannot comply with your request.,negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 23:50
"That's not a good idea, in my opinion.",negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 23:50
"Sorry, but I have to disagree with you.",negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 23:50
I have serious concerns about your proposal.,negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 23:50
"I'm sorry, but I cannot meet your expectations.",negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 23:50
"Unfortunately, I don't share your enthusiasm.",negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 23:50
I don't think that's the right approach.,negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 23:50
I cannot endorse your actions.,negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 23:50
I'm afraid I don't see things the same way as you.,negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 23:50
I don't feel comfortable with this decision.,negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 23:50
"Sorry, but I have to say no.",negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 23:50
"I'm sorry, but I cannot support your plan.",negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 23:50
I'm afraid I cannot compromise on this issue.,negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 23:50
I'm not convinced that this is the right course of action.,negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 23:50
I have some reservations about your suggestion.,negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 23:50
That's not acceptable to me.,negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 23:50
I cannot in good conscience approve of that.,negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 23:50
"I'm sorry, but I don't think that's a good idea.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-09 23:51
"I hate to be the one to tell you, but that's just not true.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-09 23:51
"My apologies, but I strongly disagree with you.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-09 23:51
I'm afraid I disagree with your opinion entirely.,negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-09 23:51
"Sorry to interrupt, but I can't support your statement.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-09 23:51
"I'm sorry, but your argument doesn't convince me.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-09 23:51
"I'm sorry, but that's completely incorrect.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-09 23:51
"I'm sorry, but I can't agree with you on that.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-09 23:51
"I'm sorry, but I find that impossible to believe.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-09 23:51
"I'm sorry, but you're mistaken about that.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-09 23:51
"I hate to be negative, but that's just not possible.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-09 23:51
"I'm sorry, but I don't see eye-to-eye with you on this.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-09 23:51
"I'm sorry, but I must disagree with your assessment.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-09 23:51
"My apologies, but your logic doesn't make sense to me.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-09 23:51
"I'm sorry, but I'm just not buying what you're selling.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-09 23:51
I'm afraid I have to disagree strongly with your proposal.,negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-09 23:51
"I'm sorry, but that's simply not accurate.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-09 23:51
"Sorry to differ, but I don't think we can agree on this.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-09 23:51
"I'm sorry, but I don't think you're considering all the facts.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-09 23:51
"I'm sorry, but I can't support your position in this matter.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-09 23:51
I respectfully disagree.,negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-09 23:51
I have a different opinion than yours.,negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-09 23:51
I must say I disagree.,negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-09 23:51
I'm afraid I can't agree with you on this.,negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-09 23:51
I think we'll have to agree to disagree.,negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-09 23:51
I see it differently.,negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-09 23:51
"I understand your point, but I don't agree.",negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-09 23:51
We seem to have different viewpoints.,negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-09 23:51
It's okay to have a different perspective.,negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-09 23:51
We have different interpretations of the situation.,negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-09 23:51
I have to voice a differing opinion.,negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-09 23:51
I beg to differ.,negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-09 23:51
I think we have different understandings of the topic.,negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-09 23:51
I don't entirely agree with you.,negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-09 23:51
"I don't mean to cause offense, but I have a different thought.",negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-09 23:51
I respectfully see the matter differently.,negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-09 23:51
I believe it's important to present contrasting viewpoints.,negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-09 23:51
I have a slightly different take on things.,negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-09 23:51
I think we need to consider multiple perspectives.,negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-09 23:51
Our opinions diverge on this matter.,negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-09 23:51
You seem unhappy and disengaged.,negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-09 23:51
Your countenance exudes pessimism and despair.,negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-09 23:51
"You are a gloomy individual, devoid of joyfulness.",negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-09 23:51
Your energy is low and demotivating.,negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-09 23:51
Your mood is consistently downcast and frowned upon.,negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-09 23:51
You radiate a sense of melancholy and dejection.,negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-09 23:51
Your aura suggests a displacement of hope and inspiration.,negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-09 23:51
You appear to be bleak and despondent without reprieve.,negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-09 23:51
Your face lacks the brightness of contentment.,negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-09 23:51
Your heart seems heavy and sorrowful.,negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-09 23:51
You are a person of sadness and deep distress.,negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-09 23:51
Your demeanor reflects a heavy sense of grief and misery.,negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-09 23:51
"You look like you are suffering, with sadness pervading every fiber within you.",negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-09 23:51
Your vibes feel like a dark cloud hovering over you.,negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-09 23:51
Your eyes capture the pain of the world and the weight of isolation.,negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-09 23:51
"Your spirit looks broken, lost and disconnected.",negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-09 23:51
Your entire being is enveloped in negative emotions and weariness.,negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-09 23:51
You are constantly weighed down by grief and negative thoughts.,negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-09 23:51
"You appear to be stuck in the depths of despair, unable to break free.",negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-09 23:51
Your soul is shackled by melancholy and woe.,negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-09 23:51
You are wrong.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-09 23:51
You are mistaken.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-09 23:51
You are misguided.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-09 23:51
You are ignorant.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-09 23:51
You are clueless.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-09 23:51
You are foolish.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-09 23:51
You are clueless.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-09 23:51
You are misinformed.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-09 23:51
You are unreliable.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-09 23:51
You are deluded.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-09 23:51
You are incoherent.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-09 23:51
You are arbitrary.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-09 23:51
You are worthless.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-09 23:51
You are useless.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-09 23:51
You are incompetent.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-09 23:51
You are absurd.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-09 23:51
You are ridiculous.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-09 23:51
You are nonsensical.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-09 23:51
You are laughable.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-09 23:51
You are pitiable.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-09 23:51
Your reasoning is utterly ridiculous.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-09 23:51
Your excuse is completely baseless.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-09 23:51
I cannot believe the foolishness coming out of your mouth.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-09 23:51
Your argument lacks any sense of coherence.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-09 23:51
Your explanation is simply absurd.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-09 23:51
Your claim is entirely nonsensical.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-09 23:51
Your thinking is nothing short of laughable.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-09 23:51
Your justifications are unfounded and illogical.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-09 23:51
Your reasoning is flawed beyond belief.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-09 23:51
Your logic is entirely fallacious.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-09 23:51
I find your rationale to be utterly nonsensical.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-09 23:51
Your line of thinking is flawed and foolish.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-09 23:51
Your proposition is completely nonsensical.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-09 23:51
Your defense is completely unfounded.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-09 23:51
Your reasoning is purely ridiculous.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-09 23:51
Your statement is entirely illogical.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-09 23:51
Your argument is nothing short of ridiculous.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-09 23:51
I cannot fathom how you arrived at such a preposterous conclusion.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-09 23:51
Your thought process is entirely illogical.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-09 23:51
Your logic makes absolutely no sense whatsoever.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-09 23:51
That's not a very good plan.,negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-09 23:52
That's a terrible idea.,negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-09 23:52
I don't think that's wise.,negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-09 23:52
That's not going to work out well.,negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-09 23:52
I strongly advise against that.,negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-09 23:52
You might want to rethink that.,negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-09 23:52
That's a mistake waiting to happen.,negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-09 23:52
I'm not sure that's the best course of action.,negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-09 23:52
That's not a smart move.,negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-09 23:52
