text,sentiment,sample,prompt,expected-label,generation_time,label,positive,negative,neutral,matched,MLSet
I'm afraid you're incorrect in your understanding.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-10 00:00,1,-2.6622531,2.0655282,0.2464609,1,Train
Your feedback has been instrumental in my growth.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:50,0,2.9387438,-2.711816,-0.42668307,1,Train
That's fantastic news!,positive,that is great.,Generate 20 simple sentences similar to that is great. with positive sentiment.,0,2023-03-09 23:49,0,2.9457755,-1.812597,-1.2652439,1,Train
Your thoughtfulness means so much to me.,positive,thank you.,Generate 20 simple sentences similar to thank you. with positive sentiment.,0,2023-03-10 00:03,0,3.1388683,-2.0166125,-1.020129,1,Validate
"Sorry, but I cannot meet your expectations.",negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-10 00:00,1,-2.3355439,1.8145176,0.3036715,1,Train
Your commitment is truly admirable.,positive,excellent question.,Generate 20 simple sentences similar to excellent question. with positive sentiment.,0,2023-03-10 00:03,0,2.5432067,-1.6127172,-0.99691194,1,Train
Your reasoning is flawed and lacks any logical basis.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-10 00:05,1,-2.4423897,2.2044733,-0.3941219,1,Train
Your work is outstanding!,positive,loved your solution.,Generate 20 simple sentences similar to loved your solution. with positive sentiment.,0,2023-03-09 23:58,0,2.7704592,-1.8148512,-1.1256642,1,Train
That's awesome!,positive,that is great.,Generate 20 simple sentences similar to that is great. with positive sentiment.,0,2023-03-09 23:49,0,3.0982196,-1.8959098,-1.1196796,1,Train
"I'm sorry, but I strongly disagree with what you're saying.",negative,hate to disagree.,Generate 5 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 22:07,1,-2.6616151,2.1524332,0.2863159,1,Train
Your beliefs are unfounded and misguided.,negative,your opinion is baseless.,Generate 20 simple sentences similar to your opinion is baseless. with negative sentiment.,1,2023-03-10 00:01,1,-2.5040321,2.149935,-0.052244812,1,Train
I cannot ignore the risks involved.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-10 00:04,1,-1.8866224,1.0836184,0.3605866,1,Train
"My perspective differs from yours, I'm sorry.",negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-10 00:05,1,-2.2260165,1.5143582,0.7103037,1,Train
I absolutely despise your lies.,negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:59,1,-2.1947112,2.3485274,-0.58510274,1,Test
The opposite of what you just said is true.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-10 00:05,1,-2.3295014,1.4148172,0.62396437,1,Train
Your idea is intriguing and I'd love to hear more.,positive,your idea seems interesting,Generate 5 simple sentences similar to your idea seems interesting with positive sentiment.,0,2023-03-09 22:23,0,3.3541455,-2.3972244,-0.9625742,1,Train
Your viewpoint is irrational.,negative,your opinion is baseless.,Generate 20 simple sentences similar to your opinion is baseless. with negative sentiment.,1,2023-03-10 00:06,1,-2.3185732,1.9033128,0.009966673,1,Train
This has all the makings of a triumphant accomplishment.,positive,Hopefully it will work.,Generate 5 simple sentences similar to Hopefully it will work. with positive sentiment.,0,2023-03-09 23:01,0,2.9354053,-2.0106518,-0.95248556,1,Train
Your theory is nonsensical.,negative,your opinion is baseless.,Generate 20 simple sentences similar to your opinion is baseless. with negative sentiment.,1,2023-03-10 00:06,1,-2.291701,1.9413235,-0.25140178,1,Validate
I have to disagree for a number of reasons.,negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50,1,-2.6140192,2.2307792,0.1685044,1,Train
You're crushing it!,positive,good luck.,Generate 20 simple sentences similar to good luck. with positive sentiment.,0,2023-03-10 00:03,0,2.9241529,-1.8965474,-1.0257356,1,Validate
I am lucky to have you in my life.,positive,thank you.,Generate 20 simple sentences similar to thank you. with positive sentiment.,0,2023-03-09 23:59,0,3.3194973,-2.1085913,-1.0143266,1,Train
Your ideas are helpful.,positive,appreciate your opinion.,Generate 20 simple sentences similar to appreciate your opinion. with positive sentiment.,0,2023-03-09 23:49,0,2.4906945,-2.3329911,-0.42265674,1,Test
"I appreciate your company, thank you for sharing your time with me.",positive,appeciate your time,Generate 20 simple sentences similar to appeciate your time with positive sentiment.,0,2023-03-09 23:48,0,3.2193992,-2.4233954,-0.80056524,1,Validate
Your viewpoint lacks any reasonable evidence.,negative,your opinion is baseless.,Generate 20 simple sentences similar to your opinion is baseless. with negative sentiment.,1,2023-03-09 23:52,1,-2.4787738,1.9681689,0.04686129,1,Test
Keep up the good work!,positive,good luck.,Generate 20 simple sentences similar to good luck. with positive sentiment.,0,2023-03-09 23:58,0,2.8800414,-2.1696782,-0.8385392,1,Test
You’ve definitely got my interest with this one.,positive,your idea seems interesting,Generate 20 simple sentences similar to your idea seems interesting with positive sentiment.,0,2023-03-09 23:59,0,2.7720022,-2.7686186,-0.04120788,1,Train
Splendid job!,positive,excellent question.,Generate 20 simple sentences similar to excellent question. with positive sentiment.,0,2023-03-09 23:58,0,2.9971673,-1.982977,-1.0048943,1,Train
"Unfortunately, that is not possible.",negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 23:50,1,-2.1171014,1.7296207,0.030990137,1,Train
I cannot see eye to eye with you on that one.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:50,1,-2.2349882,1.7208513,0.1951439,1,Validate
You’re on your way to great things.,positive,good luck.,Generate 20 simple sentences similar to good luck. with positive sentiment.,0,2023-03-09 23:49,0,3.0712123,-2.2554314,-0.89642304,1,Test
Your idea sounds intriguing and I would love to learn more.,positive,your idea seems interesting,Generate 20 simple sentences similar to your idea seems interesting with positive sentiment.,0,2023-03-10 00:04,0,3.182104,-2.397153,-0.84384865,1,Train
I find your idea to be very captivating and exciting.,positive,your idea seems interesting,Generate 20 simple sentences similar to your idea seems interesting with positive sentiment.,0,2023-03-10 00:04,0,3.4882894,-2.2441285,-1.2380204,1,Train
Your logic is fundamentally flawed and flawed.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-10 00:01,1,-2.4390712,2.2041855,-0.4546946,1,Train
First-rate idea!,positive,excellent question.,Generate 20 simple sentences similar to excellent question. with positive sentiment.,0,2023-03-09 23:58,0,2.4470994,-2.400866,-0.29301572,1,Train
"Nope, that's not right.",negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-10 00:05,1,-2.4196224,2.2556787,-0.13169673,1,Train
I cannot endorse your negative statements.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:59,1,-2.4525487,2.0574036,0.17807342,1,Train
"I'm sorry to say, but you are mistaken.",negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-10 00:00,1,-2.658439,2.1352918,0.26865566,1,Train
Thank you for being there for me.,positive,thank you.,Generate 20 simple sentences similar to thank you. with positive sentiment.,0,2023-03-09 23:59,0,2.9681475,-2.4103968,-0.49375543,1,Train
I admire your point of view.,positive,appreciate your opinion.,Generate 20 simple sentences similar to appreciate your opinion. with positive sentiment.,0,2023-03-09 23:49,0,2.443815,-2.3495078,-0.25881532,1,Train
"I hate to be the one to tell you, but that's just not true.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-09 23:51,1,-2.4518747,2.1385238,0.1936325,1,Train
That's not the way to go.,negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-09 23:52,1,-2.2869184,1.7542864,0.18724807,1,Validate
I'm sorry to say you're incorrect.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-10 00:05,1,-2.6753626,2.0615737,0.345209,1,Train
Your opinion is based solely on conjecture and has no real basis in fact.,negative,your opinion is baseless.,Generate 20 simple sentences similar to your opinion is baseless. with negative sentiment.,1,2023-03-10 00:01,1,-2.4197032,1.8001748,0.09534687,1,Train
Your dedication is inspiring.,positive,excellent question.,Generate 20 simple sentences similar to excellent question. with positive sentiment.,0,2023-03-10 00:03,0,2.5751977,-1.7227029,-0.9725396,1,Validate
Fantastic job!,positive,good luck.,Generate 20 simple sentences similar to good luck. with positive sentiment.,0,2023-03-09 23:58,0,3.026155,-1.9557852,-1.2112708,1,Train
"It was wonderful to spend time with you, thank you for being here.",positive,appeciate your time,Generate 20 simple sentences similar to appeciate your time with positive sentiment.,0,2023-03-09 23:48,0,3.5407557,-2.2241855,-1.301851,1,Test
I appreciate your take on this matter.,positive,appreciate your opinion.,Generate 20 simple sentences similar to appreciate your opinion. with positive sentiment.,0,2023-03-09 23:49,0,1.8195949,-2.4227226,0.20264576,1,Train
I cannot align myself with the negative mindset being conveyed.,negative,cannot agree,Generate 5 short sentences similar to cannot agree with negative sentiment.,1,,1,-2.420145,1.8594487,0.30044883,1,Train
I feel so fortunate to have spent time with such a wonderful person.,positive,appeciate your time,Generate 20 simple sentences similar to appeciate your time with positive sentiment.,0,2023-03-10 00:02,0,3.2217472,-1.8304819,-1.3405538,1,Train
I find your negative attitude discouraging.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:59,1,-2.4842105,2.343646,-0.057163432,1,Validate
Your argument is completely groundless.,negative,your opinion is baseless.,Generate 20 simple sentences similar to your opinion is baseless. with negative sentiment.,1,2023-03-09 23:52,1,-2.3333519,1.9215066,-0.20460507,1,Train
That's not a winning strategy.,negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-09 23:52,1,-2.0295596,1.4840976,0.1798384,1,Train
I think you may be onto something great.,positive,your idea seems interesting,Generate 20 simple sentences similar to your idea seems interesting with positive sentiment.,0,2023-03-09 23:59,0,2.7714345,-2.375996,-0.6728819,1,Test
Your absurd logic is insulting to anyone who values reason and rationality.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-10 00:05,1,-2.286699,2.128475,-0.2989505,1,Train
I appreciate the moments we share and look forward to many more.,positive,appeciate your time,Generate 20 simple sentences similar to appeciate your time with positive sentiment.,0,2023-03-10 00:02,0,3.3956287,-2.494395,-0.92183983,1,Train
That's outstanding!,positive,that is great.,Generate 20 simple sentences similar to that is great. with positive sentiment.,0,2023-03-09 23:49,0,2.7915561,-1.6898843,-1.066375,1,Train
You are nonsensical.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-09 23:51,1,-2.1474514,1.914608,-0.40381995,1,Validate
Congrats!,positive,good luck.,Generate 20 simple sentences similar to good luck. with positive sentiment.,0,2023-03-10 00:03,0,2.782956,-2.1503375,-0.74872726,1,Train
That was an excellent solution you came up with.,positive,loved your solution.,Generate 20 simple sentences similar to loved your solution. with positive sentiment.,0,2023-03-10 00:03,0,2.6589468,-1.8431693,-1.061266,1,Train
I didn't enjoy that book at all.,negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:59,1,-2.2806292,2.2519283,-0.3496655,1,Test
Great job!,positive,excellent question.,Generate 5 simple sentences similar to excellent question. with positive sentiment.,0,2023-03-09 23:16,0,2.817788,-2.2264853,-0.801711,1,Train
Your positivity and optimism are infectious.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:59,0,2.9930131,-1.7898613,-1.1195803,1,Train
I'm excited to see what we can create together.,positive,Hopefully it will work.,Generate 20 simple sentences similar to Hopefully it will work. with positive sentiment.,0,2023-03-09 23:49,0,3.5672686,-2.7194698,-0.9096928,1,Train
Your generosity is truly inspiring.,positive,thank you.,Generate 20 simple sentences similar to thank you. with positive sentiment.,0,2023-03-09 23:49,0,2.6603906,-1.5539948,-0.97031856,1,Train
That painting is hideous.,negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:59,1,-2.2749553,2.3410478,-0.47609723,1,Validate
I detest your rude behavior.,negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:59,1,-2.4078832,2.4390788,-0.38080096,1,Train
Your proposal is pointless.,negative,your opinion is baseless.,Generate 20 simple sentences similar to your opinion is baseless. with negative sentiment.,1,2023-03-10 00:06,1,-2.2157297,2.0482192,-0.41939938,1,Train
I disagree with the negative viewpoint being presented.,negative,cannot agree,Generate 5 short sentences similar to cannot agree with negative sentiment.,1,,1,-2.3852477,1.5159758,0.62705654,1,Validate
"I'm sorry, but that's just plain wrong.",negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-10 00:00,1,-2.5285823,2.478141,-0.234659,1,Validate
Thank you for sharing your thoughts with me.,positive,appreciate your opinion.,Generate 20 simple sentences similar to appreciate your opinion. with positive sentiment.,0,2023-03-09 23:58,0,2.4011676,-2.6993432,0.04890307,1,Train
I can't tolerate your arrogance.,negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:59,1,-2.274439,2.2420292,-0.22182585,1,Train
Your presence fills me with happiness and joy.,positive,appeciate your time,Generate 20 simple sentences similar to appeciate your time with positive sentiment.,0,2023-03-10 00:02,0,3.5408025,-2.0941482,-1.154157,1,Train
Excellent job!,positive,good luck.,Generate 20 simple sentences similar to good luck. with positive sentiment.,0,2023-03-10 00:03,0,2.7801027,-2.118177,-0.89078605,1,Test
Remarkable effort!,positive,excellent question.,Generate 20 simple sentences similar to excellent question. with positive sentiment.,0,2023-03-09 23:58,0,2.716782,-2.116934,-0.91671145,1,Train
Overwhelmed by your impressive results.,positive,loved your solution.,Generate 20 simple sentences similar to loved your solution. with positive sentiment.,0,2023-03-09 23:49,0,2.186225,-1.8407766,-0.5113171,1,Train
"That won't end well, trust me.",negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-10 00:01,1,-2.1052334,1.6849844,0.049360856,1,Validate
I'm not convinced that this is the right course of action.,negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 23:50,1,-2.5477893,1.886113,0.39130583,1,Train
I'm afraid that we've reached an impasse and cannot continue negotiating.,negative,"I am afraid, cannot agree.","Generate 5 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 22:17,1,-2.6832592,2.2451806,0.055938013,1,Validate
"I'm sorry, but I don't agree with that.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-10 00:00,1,-2.6554759,2.249806,0.21306317,1,Train
"I'm sorry, but I completely disagree with your statement.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-10 00:04,1,-2.7202775,2.285031,0.18086474,1,Validate
Your argument is flawed and incorrect.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-10 00:00,1,-2.515472,2.0638695,-0.079194844,1,Train
I'm afraid I have to respectfully disagree with you.,negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-10 00:00,1,-2.6771693,1.833214,0.47831586,1,Train
You are unreliable.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-09 23:51,1,-2.4164524,1.931328,-0.028860165,1,Validate
I am fascinated with your idea and cannot wait to hear more.,positive,your idea seems interesting,Generate 20 simple sentences similar to your idea seems interesting with positive sentiment.,0,2023-03-10 00:04,0,3.525861,-2.333071,-1.261662,1,Train
I do not buy into your bleak predictions.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:59,1,-2.2388208,1.7290998,0.1841145,1,Train
I loved how well thought out your solution was.,positive,loved your solution.,Generate 20 simple sentences similar to loved your solution. with positive sentiment.,0,2023-03-10 00:03,0,3.010416,-1.9907976,-1.2018611,1,Validate
Your belief is illogical.,negative,your opinion is baseless.,Generate 20 simple sentences similar to your opinion is baseless. with negative sentiment.,1,2023-03-10 00:06,1,-2.5223627,1.9922663,0.038005717,1,Train
"I understand where you're coming from, but I don't agree.",negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-10 00:00,1,-2.4812214,1.6531051,0.7220154,1,Train
I don't see that working out well.,negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-09 23:52,1,-2.310681,1.6589242,0.34659687,1,Validate
I'm optimistic that this will be a very productive meeting.,positive,Hopefully it will work.,Generate 20 simple sentences similar to Hopefully it will work. with positive sentiment.,0,2023-03-09 23:49,0,3.3196719,-2.4712398,-0.9783419,1,Train
I'm convinced this is the right choice.,positive,Hopefully it will work.,Generate 20 simple sentences similar to Hopefully it will work. with positive sentiment.,0,2023-03-09 23:58,0,1.7701054,-2.3898613,0.22618735,1,Train
"That's not a view I can endorse, I'm afraid.",negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50,1,-2.510527,1.9600534,0.2393273,1,Train
That plan is riddled with problems.,negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-10 00:06,1,-2.4368594,2.100353,-0.2621576,1,Test
Your interpretation is wrong.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-10 00:00,1,-2.5332098,1.7207115,0.4647358,1,Train
"Opinions are subjective, but I cannot support that statement.",negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-10 00:05,1,-2.4254432,1.4367611,0.7511173,1,Train
I am certain things will go smoothly.,positive,Hopefully it will work.,Generate 20 simple sentences similar to Hopefully it will work. with positive sentiment.,0,2023-03-10 00:03,0,1.812089,-2.317665,0.042237833,1,Test
You’re amazing!,positive,good luck.,Generate 20 simple sentences similar to good luck. with positive sentiment.,0,2023-03-09 23:49,0,3.0725765,-1.8542705,-1.1227069,1,Train
Amazing work!,positive,good luck.,Generate 20 simple sentences similar to good luck. with positive sentiment.,0,2023-03-10 00:03,0,2.623625,-1.8835349,-0.9830552,1,Validate
I must disagree with what you're suggesting.,negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-10 00:00,1,-2.4386022,1.3931072,0.79796314,1,Train
I am confident that we will be able to overcome any obstacles we encounter.,positive,Hopefully it will work.,Generate 20 simple sentences similar to Hopefully it will work. with positive sentiment.,0,2023-03-09 23:49,0,2.4850426,-2.5166304,-0.31992257,1,Validate
Your perspective adds a lot of value.,positive,appreciate your opinion.,Generate 20 simple sentences similar to appreciate your opinion. with positive sentiment.,0,2023-03-10 00:02,0,1.6551312,-2.2962775,0.36718857,1,Validate
This idea could definitely be a game-changer.,positive,your idea seems interesting,Generate 20 simple sentences similar to your idea seems interesting with positive sentiment.,0,2023-03-09 23:59,0,3.0855877,-2.2100565,-0.80291003,1,Train
That's not worth the risk.,negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-10 00:01,1,-2.0765405,1.6578238,0.12310633,1,Train
"I'm sorry, but my opinion contradicts yours.",negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-10 00:05,1,-2.5790439,1.8750001,0.5480645,1,Train
I'm afraid I can't support your decision.,negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-10 00:04,1,-2.6718683,2.3591638,0.02083156,1,Train
That's not right.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-10 00:05,1,-2.3520288,2.1754591,-0.046058193,1,Train
Your demeanor suggests that you carry the weight of the world on your shoulders.,negative,you are a sad person,Generate 5 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-09 22:07,1,-1.6208922,0.69832927,0.5515401,1,Test
"Sorry, but I have to disagree with you as it seems that your assumptions are incorrect.",negative,very sorry to disagree,Generate 5 simple sentences similar to very sorry to disagree with doubtful tone but negative sentiment.,1,,1,-2.7691553,2.0881388,0.45754293,1,Test
Your idea was brilliant!,positive,loved your solution.,Generate 20 simple sentences similar to loved your solution. with positive sentiment.,0,2023-03-10 00:03,0,2.973412,-1.9373401,-1.18738,1,Train
This music is terrible.,negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:59,1,-2.2333071,2.4226406,-0.5439738,1,Train
"Sorry, but I'm not on the same page as you.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-10 00:04,1,-2.3478928,1.5756143,0.55235296,1,Train
Your statement is entirely illogical.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-09 23:51,1,-2.553669,2.305875,-0.1778302,1,Train
Your perspective is misguided.,negative,your opinion is baseless.,Generate 20 simple sentences similar to your opinion is baseless. with negative sentiment.,1,2023-03-10 00:06,1,-2.3964355,1.8007748,0.22041796,1,Train
Your statement is fallacious.,negative,your opinion is baseless.,Generate 20 simple sentences similar to your opinion is baseless. with negative sentiment.,1,2023-03-10 00:06,1,-2.4887655,1.8796281,0.15640341,1,Train
That sounds like a disaster waiting to happen.,negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-10 00:01,1,-2.3203712,2.3311126,-0.39497173,1,Train
Your input has been noted and valued.,positive,appreciate your opinion.,Generate 20 simple sentences similar to appreciate your opinion. with positive sentiment.,0,2023-03-09 23:49,0,2.0890534,-2.410208,0.05812399,1,Train
Your kind words have made my day better.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:59,0,3.1206458,-2.1566288,-0.9187306,1,Train
I am grateful for your help.,positive,thank you.,Generate 20 simple sentences similar to thank you. with positive sentiment.,0,2023-03-10 00:03,0,3.183859,-2.4146173,-0.64227104,1,Validate
Keep on rocking!,positive,good luck.,Generate 20 simple sentences similar to good luck. with positive sentiment.,0,2023-03-09 23:58,0,2.954844,-2.4555235,-0.45945725,1,Validate
You’re doing great!,positive,good luck.,Generate 20 simple sentences similar to good luck. with positive sentiment.,0,2023-03-09 23:49,0,3.04746,-2.1124477,-0.94339675,1,Train
"I'm sorry, but I don't think that's a good idea.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-09 23:51,1,-2.619121,2.3480625,-0.0071488973,1,Test
"I couldn't have done it without you, thanks!",positive,thank you.,Generate 20 simple sentences similar to thank you. with positive sentiment.,0,2023-03-09 23:49,0,2.737395,-1.8761891,-0.78037685,1,Train
Your perspective is entirely without merit.,negative,your opinion is baseless.,Generate 20 simple sentences similar to your opinion is baseless. with negative sentiment.,1,2023-03-10 00:01,1,-2.4234843,1.8628691,0.0021182168,1,Train
I cannot turn a blind eye to this problem.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-10 00:04,1,-2.4501271,2.2470093,-0.1547568,1,Validate
That's not a smart move.,negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-09 23:52,1,-2.2714736,1.9327897,0.025759177,1,Train
"I'm sorry, but that's simply not accurate.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-09 23:51,1,-2.676357,2.4197173,-0.015158163,1,Train
I'm sorry if we don't see eye to eye on this matter.,negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-10 00:00,1,-2.363751,1.8033923,0.47999075,1,Train
I cannot concur with your negative sentiment.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:50,1,-2.5366814,2.1595466,0.1362843,1,Train
Your empathy and understanding have made me feel less alone.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:59,0,1.675195,-1.8031924,-0.071691915,1,Train
That's wonderful news!,positive,that is great.,Generate 20 simple sentences similar to that is great. with positive sentiment.,0,2023-03-09 23:49,0,2.8799198,-1.7048419,-1.2387077,1,Train
Your belief is completely unfounded and irrational.,negative,your opinion is baseless.,Generate 20 simple sentences similar to your opinion is baseless. with negative sentiment.,1,2023-03-10 00:01,1,-2.3359122,2.1077147,-0.24892539,1,Train
I have a good feeling about this particular approach.,positive,Hopefully it will work.,Generate 20 simple sentences similar to Hopefully it will work. with positive sentiment.,0,2023-03-09 23:49,0,2.5672722,-2.5880477,-0.38313338,1,Train
"Unfortunately, that just doesn't ring true for me.",negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-10 00:04,1,-2.5241554,2.1878757,0.08955254,1,Train
Your dedication is truly commendable.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:50,0,2.633034,-1.6900082,-1.0156727,1,Train
That's superb!,positive,that is great.,Generate 20 simple sentences similar to that is great. with positive sentiment.,0,2023-03-09 23:49,0,2.809981,-1.7584985,-1.0038673,1,Validate
That's just asking for trouble.,negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-10 00:01,1,-2.3780608,2.000961,0.12234156,1,Train
Your thought process is entirely illogical.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-09 23:51,1,-2.4645593,2.203812,-0.32277074,1,Test
I beg to differ with your argument.,negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-10 00:04,1,-2.3644068,1.69098,0.26375654,1,Train
I cannot forgive what you have done.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-10 00:04,1,-2.3944104,2.4525495,-0.43798742,1,Train
That's a brilliant idea!,positive,excellent question.,Generate 5 simple sentences similar to excellent question. with positive sentiment.,0,2023-03-09 23:16,0,2.8939729,-1.828793,-1.1125801,1,Train
"Sorry, but I don't share your opinion.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-10 00:00,1,-2.4805934,1.6991279,0.6152467,1,Validate
Your assumption is completely incorrect.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-10 00:00,1,-2.4909074,1.9546942,0.0979578,1,Validate
"Your spirit looks broken, lost and disconnected.",negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-09 23:51,1,-2.5134377,2.1540148,-0.1437388,1,Train
I'm sorry to contradict your opinion.,negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-10 00:05,1,-2.4883432,1.7365928,0.65252274,1,Validate
I value your input.,positive,appreciate your opinion.,Generate 20 simple sentences similar to appreciate your opinion. with positive sentiment.,0,2023-03-09 23:58,0,1.5443962,-2.6657708,0.7116378,1,Train
